sample_id,kmer_AAT,kmer_CCT,kmer_TCC,kmer_CAT,kmer_GGC,kmer_ACT,kmer_GCG,kmer_ATG,kmer_GTT,kmer_CTT,kmer_GCA,kmer_GGA,gc_content,kmer_CAG,kmer_GAA,kmer_GAT,kmer_GGG,kmer_CGA,kmer_ATA,kmer_TAC,kmer_TGT,kmer_GTC,kmer_ATC,kmer_CGT,kmer_GTA,kmer_CTG,kmer_ACG,kmer_GGT,kmer_GCT,kmer_TAT,kmer_AGA,kmer_AAA,kmer_CGG,kmer_AGC,kmer_TGA,kmer_CTC,kmer_CCA,kmer_GAG,kmer_CCG,kmer_TAG,total_mutations,kmer_ACC,kmer_GTG,kmer_AGG,kmer_GCC,kmer_GAC,kmer_TTC,kmer_AGT,kmer_TAA,kmer_TTA,kmer_TGG,kmer_TCA,kmer_CAC,kmer_TTT,kmer_CGC,length_diff,kmer_AAG,kmer_TCT,mutation_density,kmer_AAC,kmer_ATT,kmer_CCC,kmer_TGC,kmer_TCG,genome_length,kmer_CAA,kmer_TTG,kmer_CTA,kmer_ACA
KU509268.1,0.020889487,0.008760108,0.009433962,0.01954178,0.010781671,0.014150944,0.0026954177,0.027628032,0.012803234,0.010107817,0.01684636,0.038409702,0.44683716,0.025606468,0.035714287,0.01684636,0.015498652,0.0053908355,0.01212938,0.008086253,0.018867925,0.011455526,0.013477089,0.004716981,0.008760108,0.015498652,0.0067385444,0.008760108,0.013477089,0.011455526,0.029649595,0.041778974,0.00606469,0.014824797,0.015498652,0.010107817,0.015498652,0.01954178,0.0033692722,0.012803234,12.0,0.010107817,0.014150944,0.02425876,0.008086253,0.01684636,0.010781671,0.014824797,0.008760108,0.010781671,0.027628032,0.021563342,0.025606468,0.012803234,0.0026954177,0.0,0.025606468,0.008760108,0.008075370121130552,0.02425876,0.015498652,0.0074123987,0.012803234,0.00606469,,0.026954178,0.01684636,0.009433962,0.04380054
KM204118.1,0.020215634,0.009433962,0.008760108,0.022237197,0.01212938,0.012803234,0.0026954177,0.027628032,0.01684636,0.0067385444,0.017520215,0.03908356,0.45423958,0.024932615,0.034366578,0.015498652,0.017520215,0.0053908355,0.014824797,0.0067385444,0.01819407,0.010781671,0.014150944,0.0040431265,0.00606469,0.015498652,0.004716981,0.010107817,0.012803234,0.010781671,0.027628032,0.04110512,0.00606469,0.014824797,0.015498652,0.013477089,0.01684636,0.020889487,0.0033692722,0.012803234,4.0,0.009433962,0.014150944,0.027628032,0.011455526,0.016172506,0.009433962,0.015498652,0.0074123987,0.008086253,0.027628032,0.022237197,0.022237197,0.016172506,0.0026954177,0.0,0.026954178,0.009433962,0.0026917900403768506,0.022237197,0.01212938,0.0067385444,0.014824797,0.0074123987,,0.027628032,0.01819407,0.008760108,0.04043127
AY858035.2,0.021563342,0.009433962,0.009433962,0.021563342,0.012803234,0.01212938,0.0033692722,0.026954178,0.01684636,0.008086253,0.017520215,0.038409702,0.45222074,0.024932615,0.03773585,0.012803234,0.018867925,0.0053908355,0.014150944,0.008086253,0.01954178,0.01212938,0.012803234,0.004716981,0.00606469,0.014824797,0.0053908355,0.010107817,0.013477089,0.01212938,0.026954178,0.039757412,0.0074123987,0.014150944,0.015498652,0.011455526,0.014150944,0.017520215,0.004716981,0.014824797,10.0,0.010107817,0.013477089,0.028975742,0.008760108,0.017520215,0.011455526,0.014150944,0.00606469,0.010107817,0.024932615,0.021563342,0.020215634,0.014150944,0.0026954177,0.0,0.026954178,0.010107817,0.006729475100942127,0.022911051,0.014150944,0.0067385444,0.013477089,0.0067385444,,0.027628032,0.017520215,0.010781671,0.04110512
KP406804.1,0.020889487,0.010107817,0.009433962,0.023584906,0.013477089,0.014824797,0.0040431265,0.026954178,0.014824797,0.0074123987,0.014824797,0.041778974,0.46096903,0.02425876,0.034366578,0.015498652,0.018867925,0.00606469,0.015498652,0.008760108,0.01954178,0.010781671,0.014824797,0.0033692722,0.00606469,0.020889487,0.00606469,0.008760108,0.013477089,0.008086253,0.026954178,0.04043127,0.0053908355,0.010107817,0.015498652,0.01212938,0.017520215,0.018867925,0.0033692722,0.01212938,11.0,0.01212938,0.014824797,0.028301887,0.009433962,0.020889487,0.008086253,0.014824797,0.0074123987,0.008086253,0.03032345,0.022911051,0.022237197,0.012803234,0.0033692722,0.0,0.024932615,0.008760108,0.007402422611036339,0.022237197,0.010781671,0.0074123987,0.014824797,0.004716981,,0.026280323,0.01684636,0.0067385444,0.04110512
LC666719.1,0.020215634,0.009433962,0.008086253,0.020215634,0.011455526,0.01212938,0.0033692722,0.026280323,0.01684636,0.009433962,0.01684636,0.039757412,0.44952893,0.023584906,0.03504043,0.014824797,0.017520215,0.00606469,0.015498652,0.009433962,0.018867925,0.011455526,0.011455526,0.0040431265,0.00606469,0.014150944,0.00606469,0.009433962,0.012803234,0.013477089,0.026954178,0.04110512,0.008760108,0.014824797,0.015498652,0.012803234,0.014150944,0.020215634,0.004716981,0.014150944,8.0,0.011455526,0.013477089,0.027628032,0.008760108,0.017520215,0.012803234,0.015498652,0.0053908355,0.01212938,0.02425876,0.022237197,0.020215634,0.012803234,0.0026954177,0.0,0.026954178,0.010781671,0.005383580080753701,0.022237197,0.015498652,0.00606469,0.012803234,0.0074123987,,0.028975742,0.01684636,0.008760108,0.039757412
KR920365.1,0.022237197,0.008760108,0.008760108,0.021563342,0.012803234,0.011455526,0.0033692722,0.026954178,0.016172506,0.009433962,0.017520215,0.03908356,0.448856,0.024932615,0.03773585,0.013477089,0.018867925,0.0053908355,0.014824797,0.008086253,0.018867925,0.01212938,0.012803234,0.004716981,0.00606469,0.014150944,0.0053908355,0.010107817,0.012803234,0.012803234,0.026280323,0.039757412,0.0067385444,0.014150944,0.014824797,0.010781671,0.014824797,0.017520215,0.004716981,0.014150944,9.0,0.010107817,0.013477089,0.028975742,0.009433962,0.016172506,0.010781671,0.014150944,0.0074123987,0.01212938,0.026280323,0.020889487,0.020215634,0.014824797,0.0026954177,0.0,0.026954178,0.010781671,0.006056527590847914,0.022911051,0.015498652,0.0067385444,0.013477089,0.00606469,,0.026954178,0.01819407,0.009433962,0.04043127
AY858036.2,0.022237197,0.008760108,0.009433962,0.021563342,0.01212938,0.01212938,0.0026954177,0.028301887,0.014150944,0.010107817,0.01684636,0.039757412,0.44683716,0.024932615,0.037061993,0.014150944,0.015498652,0.004716981,0.012803234,0.00606469,0.018867925,0.01212938,0.014150944,0.0033692722,0.008760108,0.013477089,0.004716981,0.009433962,0.012803234,0.01212938,0.027628032,0.04043127,0.00606469,0.014150944,0.014824797,0.010781671,0.016172506,0.018867925,0.0040431265,0.014150944,11.0,0.009433962,0.01212938,0.028301887,0.010107817,0.016172506,0.009433962,0.015498652,0.008086253,0.010107817,0.026954178,0.022237197,0.023584906,0.015498652,0.0026954177,0.0,0.027628032,0.009433962,0.007402422611036339,0.022911051,0.014824797,0.0074123987,0.013477089,0.0053908355,,0.027628032,0.01954178,0.008760108,0.04245283
MH823208.1,0.023584906,0.00606469,0.008760108,0.020889487,0.011455526,0.010781671,0.0026954177,0.026280323,0.012803234,0.010107817,0.016172506,0.04043127,0.45154777,0.02425876,0.03773585,0.014824797,0.016172506,0.0053908355,0.014150944,0.0074123987,0.01819407,0.012803234,0.014824797,0.004716981,0.008760108,0.012803234,0.0074123987,0.009433962,0.014824797,0.01212938,0.028301887,0.03908356,0.008086253,0.013477089,0.014824797,0.010781671,0.016172506,0.018867925,0.004716981,0.014824797,12.0,0.010107817,0.012803234,0.027628032,0.008086253,0.01684636,0.010781671,0.014824797,0.0074123987,0.009433962,0.025606468,0.021563342,0.022911051,0.01212938,0.0040431265,0.0,0.026280323,0.011455526,0.008075370121130552,0.021563342,0.016172506,0.010107817,0.012803234,0.0074123987,,0.026280323,0.018867925,0.009433962,0.04043127
LC111438.1,0.020917678,0.009446694,0.009446694,0.021592442,0.012820513,0.010796221,0.004048583,0.026990553,0.01754386,0.008097166,0.016869096,0.0391363,0.4549125,0.025641026,0.03846154,0.01417004,0.018893387,0.0060728746,0.012145749,0.007422402,0.018893387,0.012145749,0.012145749,0.004723347,0.0060728746,0.014844804,0.004723347,0.010796221,0.012145749,0.010121457,0.02631579,0.03846154,0.0060728746,0.01417004,0.015519568,0.010796221,0.015519568,0.01754386,0.004723347,0.013495277,12.0,0.010121457,0.01417004,0.029014844,0.010121457,0.016194332,0.011470986,0.015519568,0.0067476383,0.010796221,0.027665317,0.020917678,0.021592442,0.012820513,0.0026990552,0.0,0.02834008,0.010121457,0.008075370121130552,0.022941971,0.015519568,0.0067476383,0.013495277,0.0060728746,,0.026990553,0.018893387,0.00877193,0.042510122
KY627762.1,0.01954178,0.010107817,0.008086253,0.020215634,0.010107817,0.01212938,0.0040431265,0.026280323,0.01819407,0.0067385444,0.015498652,0.03908356,0.44818303,0.024932615,0.035714287,0.014150944,0.01684636,0.0053908355,0.012803234,0.009433962,0.01684636,0.010781671,0.01212938,0.004716981,0.00606469,0.015498652,0.0053908355,0.011455526,0.012803234,0.01212938,0.026954178,0.04514825,0.0074123987,0.014824797,0.016172506,0.01212938,0.014150944,0.020215634,0.0040431265,0.012803234,8.0,0.010781671,0.014150944,0.026280323,0.009433962,0.01684636,0.010781671,0.016172506,0.0067385444,0.011455526,0.026954178,0.020889487,0.020215634,0.014824797,0.0026954177,0.0,0.026280323,0.010107817,0.005383580080753701,0.02425876,0.014824797,0.00606469,0.014150944,0.0067385444,,0.027628032,0.017520215,0.010781671,0.04245283
OR125606.1,0.022200773,0.008687259,0.009652509,0.027027028,0.012548262,0.008687259,0.0038610038,0.028957529,0.018339768,0.010617761,0.013513514,0.043436293,0.31493944,0.023166023,0.03764479,0.013513514,0.017374517,0.0038610038,0.012548262,0.006756757,0.02027027,0.013513514,0.015444015,0.0048262547,0.005791506,0.0144787645,0.0048262547,0.012548262,0.015444015,0.010617761,0.024131274,0.036679536,0.006756757,0.017374517,0.015444015,0.009652509,0.012548262,0.018339768,0.0038610038,0.016409267,7.0,0.005791506,0.0144787645,0.028957529,0.009652509,0.016409267,0.012548262,0.0144787645,0.0048262547,0.012548262,0.032818533,0.027027028,0.018339768,0.016409267,0.0019305019,0.0,0.027027028,0.009652509,0.004710632570659489,0.016409267,0.016409267,0.0077220076,0.010617761,0.0048262547,,0.023166023,0.02027027,0.0077220076,0.038610037
