sample_id,description,serotype,genotype,country,year,host,genome_length,is_complete,location,lineage,data_source
KU509268.1,hDenV2/Indonesia/BA-BNITM-671/2009,DENV2,II,,2009,Human,,True,Asia / Indonesia / Bali,2II_F,gisaid
KM204118.1,hDenV2/Indonesia/un-NUSMS-0000009/1975,DENV2,IV,,1975,Human,,True,Asia / Indonesia,2IV,gisaid
AY858035.2,hDenV2/Indonesia/un-NUSMS-0000008/1975,DENV2,II,,1975,Human,,True,Asia / Indonesia,2II,gisaid
KP406804.1,hDenV2/Indonesia/un-NUSMS-0000007/1977,DENV2,I,,1977,Human,,True,Asia / Indonesia,2I,gisaid
LC666719.1,hDenV2/Indonesia/un-NUSMS-0000005/1976,DENV2,II,,1976,Human,,True,Asia / Indonesia,2II_B,gisaid
KR920365.1,hDenV2/Indonesia/un-NUSMS-0000004/1976,DENV2,II,,1976,Human,,True,Asia / Indonesia,2II,gisaid
AY858036.2,hDenV2/Indonesia/un-NIHRD-00002/2004,DENV2,II,,2004,Human,,True,Asia / Indonesia,2II_F,gisaid
MH823208.1,hDenV2/Indonesia/un-EIMB-010/2014,DENV2,II,,2014,Human,,True,Asia / Indonesia,2II_F.1.3,gisaid
LC111438.1,hDenV2/Indonesia/un-Yale-DH069/1984,DENV2,II,,1984,Human,,True,Asia / Indonesia,2II,gisaid
KY627762.1,DenV2/un/Indonesia/un-Yale-DH071/1988,DENV2,II,,1988,unknown,,True,Asia / Indonesia,2II_B,gisaid
OR125606.1,hDenV2/Indonesia/KR-NIHRD-WD019/2023,DENV2,II,,2023,Human,,True,Asia / Indonesia / Riau Islands / Batam,2II_F.1.3,gisaid
MW577849.1,hDenV2/Indonesia/un-BNITM-160/2018,DENV2,III,,2018,Human,,True,Asia / Indonesia,2III_C.2,gisaid
MW512378.1,hDenV2/Indonesia/BA-EHI-007/2022,DENV2,II,,2022,Human,,True,Asia / Indonesia / Bali,2II_F.2.1,gisaid
MW512386.1,hDenV2/Indonesia/SA-BIOKES-WD196/2024,DENV2,II,,2024,Human,,True,Asia / Indonesia / North Sulawesi / Manado,2II_D.2,gisaid
MW512429.1,hDenV2/Indonesia/MA-BIOKES-WD205/2024,DENV2,II,,2024,Human,,True,Asia / Indonesia / Maluku / Ambon,2II_F.2.1,gisaid
OP410996.1,hDenV2/Indonesia/SA-BIOKES-WD186/2024,DENV2,I,,2024,Human,,True,Asia / Indonesia / North Sulawesi / Manado,3I_A.1,gisaid
MW721459.1,hDenV2/Indonesia/SA-BIOKES-WD192/2024,DENV2,II,,2024,Human,,True,Asia / Indonesia / North Sulawesi / Manado,2II_D.2,gisaid
MW512480.1,hDenV2/Indonesia/YO-MU-00028/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_D,gisaid
MW512402.1,hDenV2/Indonesia/YO-MU-00324/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_F.1,gisaid
MW512431.1,hDenV2/Indonesia/YO-MU-00359/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_C,gisaid
MW512467.1,hDenV2/Indonesia/YO-MU-00406/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_C,gisaid
MW512481.1,hDenV2/Indonesia/YO-MU-00412/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_F.1.1,gisaid
MH827525.1,hDenV2/Indonesia/YO-MU-00437/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_F.2.1,gisaid
MW512428.1,hDenV2/Indonesia/YO-MU-00510_578/2019,DENV2,II,,2019,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_F.2.1,gisaid
MW512409.1,hDenV2/Indonesia/YO-MU-00538/2020,DENV2,II,,2020,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_C,gisaid
MH827539.1,hDenV2/Indonesia/YO-MU-00673/2020,DENV2,II,,2020,Human,,True,Asia / Indonesia / Yogyakarta / Yogyakarta,2II_F.2.1,gisaid
MW512451.1,hDenV2/Indonesia/un-INMI-D616/2024,DENV2,II,,2024,Human,,True,Asia / Indonesia,2II_F.1.1,gisaid
KC762680.1,hDenV2/Indonesia/SN-MKSWS80394/2010,DENV2,II,,2010,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.2,gisaid
